series_name,series_code,underlying,asset_class,sub_asset_class,product_type,structure_type,market_segment,market_development,region,currency,term,tenor,source_default,bbg_field,bbg_data_type,mds_field,mds_data_type,bbg_ticker,mds_ticker,hawk_field,hawk_ticker,valid_from,valid_to,calculation_formula,des_notes,is_synthetic
Sugar Index,SUGAR_PX_LAST,SUGAR,Commodity,Softs,Index,Simple,Global,EM,GLOBAL,USD,,,Macrobond,,,,,,,,,,,,Source sheet row 155. Underlying normalised from 'Sugar Index'. No vendor ticker available.,False
CNH 3M Forward Points (offshore),OFFSHORE_SPREAD_PX_LAST,offshore_spread,Currency,FX Forward,Forward,Simple,Offshore,CHN,Asia Pacific,CNH,Short-term,3M,BBG,PX_LAST,Spread,,,CNH+3M CMPN Curncy,,,,,,,Source sheet row 116. Offshore leg of the CNH-CNY basis. Differenced against onshore_spread in the feature layer. Not one of the 5 canonical STEER drivers.,False
CNY 3M Forward Points (onshore),ONSHORE_SPREAD_PX_LAST,onshore_spread,Currency,FX Forward,Forward,Simple,Onshore,CHN,Asia Pacific,CNY,Short-term,3M,BBG,PX_LAST,Spread,,,CCO+3M CMPN Curncy,,,,,,,Source sheet row 117. Onshore leg of the CNH-CNY basis. Not one of the 5 canonical STEER drivers.,False
Shanghai Connect Buy Turnover,SHANGHAI_BUY_FLOWS_PX_LAST,shanghai_buy_flows,Equity,Equity Flow,Flow,Simple,Local,CHN,Asia Pacific,CNY,,,BBG,PX_LAST,Volume,,,C1DBTO Index,,,,,,,Source sheet row 118. HKEX stopped reporting separate buy/sell equity flows from 2024-08-16; valid_to set accordingly. Net flows = buys - sells was the pre-cutover flows driver.,False
Shenzhen Connect Buy Turnover,SHENZHEN_BUY_FLOWS_PX_LAST,shenzhen_buy_flows,Equity,Equity Flow,Flow,Simple,Local,CHN,Asia Pacific,CNY,,,BBG,PX_LAST,Volume,,,C2DBTO Index,,,,,,,Source sheet row 119. HKEX stopped reporting separate buy/sell equity flows from 2024-08-16; valid_to set accordingly. Net flows = buys - sells was the pre-cutover flows driver.,False
Shanghai Connect Sell Turnover,SHANGHAI_SELL_FLOWS_PX_LAST,shanghai_sell_flows,Equity,Equity Flow,Flow,Simple,Local,CHN,Asia Pacific,CNY,,,BBG,PX_LAST,Volume,,,C1DSTO Index,,,,,,,Source sheet row 120. HKEX stopped reporting separate buy/sell equity flows from 2024-08-16; valid_to set accordingly. Net flows = buys - sells was the pre-cutover flows driver.,False
Shenzhen Connect Sell Turnover,SHENZHEN_SELL_FLOWS_PX_LAST,shenzhen_sell_flows,Equity,Equity Flow,Flow,Simple,Local,CHN,Asia Pacific,CNY,,,BBG,PX_LAST,Volume,,,C2DSTO Index,,,,,,,Source sheet row 121. HKEX stopped reporting separate buy/sell equity flows from 2024-08-16; valid_to set accordingly. Net flows = buys - sells was the pre-cutover flows driver.,False
Shanghai Connect Total Turnover,SHANGHAI_FLOWS_TURNOVER_PX_LAST,shanghai_flows_turnover,Equity,Equity Flow,Flow,Simple,Local,CHN,Asia Pacific,CNY,,,BBG,PX_LAST,Volume,,,C1DTTO Index,,,,,,,"Source sheet row 136. Total-turnover replacement for the net-flows driver from 2024-08-16 onward, per the USDCNH specification revision.",False
Shenzhen Connect Total Turnover,SHENZHEN_FLOWS_TURNOVER_PX_LAST,shenzhen_flows_turnover,Equity,Equity Flow,Flow,Simple,Local,CHN,Asia Pacific,CNY,,,BBG,PX_LAST,Volume,,,C2DTTO Index,,,,,,,"Source sheet row 137. Total-turnover replacement for the net-flows driver from 2024-08-16 onward, per the USDCNH specification revision.",False
CAD 2Y Interest Rate Swap,CAD2YSW_PX_LAST,CAD2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,G10,North America,CAD,Medium-term,2Y,BBG,PX_LAST,Rate,,,CDSWAP2 Curncy,,,,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the ADSWAP2/NDSWAP2 convention used for the other commodity-block G10 swaps.,True
INR 2Y Interest Rate Swap,INR2YSW_PX_LAST,INR2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,South Asia,INR,Medium-term,2Y,BBG,PX_LAST,Rate,,,IRSWNI2 Curncy,,,,,,,"SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the non-deliverable ...NI2 convention used for MYR (MRSWNI2), PHP (PPUSNI2) and CNH (CCSWNI2).",True
TWD 2Y Interest Rate Swap,TWD2YSW_PX_LAST,TWD2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Asia Pacific,TWD,Medium-term,2Y,BBG,PX_LAST,Rate,,,TWSWNI2 Curncy,,,,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the non-deliverable ...NI2 convention. TWD has a local equity index (MXTW) in the real sheet but no swap row was captured.,True
Turkey 5Y Sovereign CDS Premium,TRYCDS_PX_LAST,TRYCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Europe,TRY,Medium-term,5Y,HAWK,,,,,,,PREM,TURKEY.FULL.USD.SEN.5Y.PREM,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the <ENTITY>.FULL.USD.SEN.5Y.PREM convention of the 12 real CDS rows. Denominated in USD.,True
Brazil 5Y Sovereign CDS Premium,BRLCDS_PX_LAST,BRLCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Latin America,BRL,Medium-term,5Y,HAWK,,,,,,,PREM,BRAZIL.FULL.USD.SEN.5Y.PREM,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the <ENTITY>.FULL.USD.SEN.5Y.PREM convention of the 12 real CDS rows. Denominated in USD.,True
Chile 5Y Sovereign CDS Premium,CLPCDS_PX_LAST,CLPCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Latin America,CLP,Medium-term,5Y,HAWK,,,,,,,PREM,CHILE.FULL.USD.SEN.5Y.PREM,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the <ENTITY>.FULL.USD.SEN.5Y.PREM convention of the 12 real CDS rows. Denominated in USD.,True
Colombia 5Y Sovereign CDS Premium,COPCDS_PX_LAST,COPCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Latin America,COP,Medium-term,5Y,HAWK,,,,,,,PREM,COLOMBIA.FULL.USD.SEN.5Y.PREM,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the <ENTITY>.FULL.USD.SEN.5Y.PREM convention of the 12 real CDS rows. Denominated in USD.,True
Mexico 5Y Sovereign CDS Premium,MXNCDS_PX_LAST,MXNCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Latin America,MXN,Medium-term,5Y,HAWK,,,,,,,PREM,MEXICO.FULL.USD.SEN.5Y.PREM,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the <ENTITY>.FULL.USD.SEN.5Y.PREM convention of the 12 real CDS rows. Denominated in USD.,True
Peru 5Y Sovereign CDS Premium,PENCDS_PX_LAST,PENCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Latin America,PEN,Medium-term,5Y,HAWK,,,,,,,PREM,PERU.FULL.USD.SEN.5Y.PREM,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the <ENTITY>.FULL.USD.SEN.5Y.PREM convention of the 12 real CDS rows. Denominated in USD.,True
Philippines 5Y Sovereign CDS Premium,PHPCDS_PX_LAST,PHPCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Asia Pacific,PHP,Medium-term,5Y,HAWK,,,,,,,PREM,PHILIPPINES.FULL.USD.SEN.5Y.PREM,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the <ENTITY>.FULL.USD.SEN.5Y.PREM convention of the 12 real CDS rows. Denominated in USD.,True
Singapore 5Y Sovereign CDS Premium,SGDCDS_PX_LAST,SGDCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Asia Pacific,SGD,Medium-term,5Y,HAWK,,,,,,,PREM,SINGAPORE.FULL.USD.SEN.5Y.PREM,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the <ENTITY>.FULL.USD.SEN.5Y.PREM convention of the 12 real CDS rows. Denominated in USD.,True
Taiwan 5Y Sovereign CDS Premium,TWDCDS_PX_LAST,TWDCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Asia Pacific,TWD,Medium-term,5Y,HAWK,,,,,,,PREM,TAIWAN.FULL.USD.SEN.5Y.PREM,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the <ENTITY>.FULL.USD.SEN.5Y.PREM convention of the 12 real CDS rows. Denominated in USD.,True
China 5Y Sovereign CDS Premium,CNHCDS_PX_LAST,CNHCDS,Credit,Sovereign CDS,CDS,Complex,Local,CHN,Asia Pacific,CNH,Medium-term,5Y,HAWK,,,,,,,PREM,CHINA.FULL.USD.SEN.5Y.PREM,,,,"SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. ASSUMPTION: applies the EM driver-2 treatment (5Y sovereign CDS) to CHN. The source sheet supplies no CNH curve legs and no China CDS, so CHN's driver 2 is unconfirmed -- CONFIRM with the model owner. Follows the <ENTITY>.FULL.USD.SEN.5Y.PREM convention of the 12 real CDS rows. Denominated in USD.",True
MSCI TRY Local Equity Index,TRYMSCI_PX_LAST,TRYmsci,Equity,Equity Index,Index,Simple,Local,EM,Europe,TRY,,,BBG,PX_LAST,Index,,,MXTR Index,,,,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the MX<country> convention of the 23 real MSCI rows. Ticker is plausible but UNVERIFIED.,True
MSCI PLN Local Equity Index,PLNMSCI_PX_LAST,PLNmsci,Equity,Equity Index,Index,Simple,Local,EM,Europe,PLN,,,BBG,PX_LAST,Index,,,MXPL Index,,,,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the MX<country> convention of the 23 real MSCI rows. Ticker is plausible but UNVERIFIED.,True
MSCI CZK Local Equity Index,CZKMSCI_PX_LAST,CZKmsci,Equity,Equity Index,Index,Simple,Local,EM,Europe,CZK,,,BBG,PX_LAST,Index,,,MXCZ Index,,,,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the MX<country> convention of the 23 real MSCI rows. Ticker is plausible but UNVERIFIED.,True
MSCI HUF Local Equity Index,HUFMSCI_PX_LAST,HUFmsci,Equity,Equity Index,Index,Simple,Local,EM,Europe,HUF,,,BBG,PX_LAST,Index,,,MXHU Index,,,,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the MX<country> convention of the 23 real MSCI rows. Ticker is plausible but UNVERIFIED.,True
MSCI RON Local Equity Index,RONMSCI_PX_LAST,RONmsci,Equity,Equity Index,Index,Simple,Local,EM,Europe,RON,,,BBG,PX_LAST,Index,,,MXRO Index,,,,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the MX<country> convention of the 23 real MSCI rows. Ticker is plausible but UNVERIFIED.,True
MSCI RUB Local Equity Index,RUBMSCI_PX_LAST,RUBmsci,Equity,Equity Index,Index,Simple,Local,EM,Europe,RUB,,,BBG,PX_LAST,Index,,,MXRU Index,,,,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the MX<country> convention of the 23 real MSCI rows. Ticker is plausible but UNVERIFIED.,True
MSCI ILS Local Equity Index,ILSMSCI_PX_LAST,ILSmsci,Equity,Equity Index,Index,Simple,Local,EM,Middle East,ILS,,,BBG,PX_LAST,Index,,,MXIL Index,,,,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the MX<country> convention of the 23 real MSCI rows. Ticker is plausible but UNVERIFIED.,True
MSCI ZAR Local Equity Index,ZARMSCI_PX_LAST,ZARmsci,Equity,Equity Index,Index,Simple,Local,EM,Africa,ZAR,,,BBG,PX_LAST,Index,,,MXZA Index,,,,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Follows the MX<country> convention of the 23 real MSCI rows. Ticker is plausible but UNVERIFIED.,True
MSCI CNH Local Equity Index,CNHMSCI_PX_LAST,CNHmsci,Equity,Equity Index,Index,Simple,Local,CHN,Asia Pacific,CNH,,,BBG,PX_LAST,Index,,,MXCN Index,,,,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Close vintage to pair with the live CNHlivemsci (SHSZ300). Follows the MX<country> convention of the 23 real MSCI rows. Ticker is plausible but UNVERIFIED.,True
Copper Benchmark,COPPER_PX_LAST,COPPER,Commodity,Copper,Futures,Simple,Global,EM,GLOBAL,USD,,,BBG,PX_LAST,Price,,,HG1 Comdty,,,,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Required by the methodology's Chile basket (100% copper) and Peru basket (67.4% copper). Follows the CL2/HRC1 futures convention.,True
Gold Benchmark,GOLD_PX_LAST,GOLD,Commodity,Gold,Spot,Simple,Global,EM,GLOBAL,USD,,,BBG,PX_LAST,Price,,,XAU Curncy,,,,,,,SYNTHETIC PLACEHOLDER -- not a verified vendor ticker. Required by the methodology's Peru basket (32.6% gold) and South Africa basket (23.2% gold). XAU Curncy matches the existing datalake gold rows.,True
EUR/GBP Spot,EURGBP_PX_LAST,EURGBP,Currency,FX Spot,Spot,Simple,Primary Market,G10,Europe,GBP,,,BBG,PX_LAST,Price,,,EURGBP Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
EUR/AUD Spot,EURAUD_PX_LAST,EURAUD,Currency,FX Spot,Spot,Simple,Primary Market,G10,Asia Pacific,AUD,,,BBG,PX_LAST,Price,,,EURAUD Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
EUR/NZD Spot,EURNZD_PX_LAST,EURNZD,Currency,FX Spot,Spot,Simple,Primary Market,G10,Asia Pacific,NZD,,,BBG,PX_LAST,Price,,,EURNZD Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
EUR/USD Spot,EURUSD_PX_LAST,EURUSD,Currency,FX Spot,Spot,Simple,Primary Market,G10,Americas,USD,,,BBG,PX_LAST,Price,,,EURUSD Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
EUR/CAD Spot,EURCAD_PX_LAST,EURCAD,Currency,FX Spot,Spot,Simple,Primary Market,G10,Americas,CAD,,,BBG,PX_LAST,Price,,,EURCAD Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
EUR/CHF Spot,EURCHF_PX_LAST,EURCHF,Currency,FX Spot,Spot,Simple,Primary Market,G10,Europe,CHF,,,BBG,PX_LAST,Price,,,EURCHF Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
EUR/NOK Spot,EURNOK_PX_LAST,EURNOK,Currency,FX Spot,Spot,Simple,Primary Market,G10,Europe,NOK,,,BBG,PX_LAST,Price,,,EURNOK Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
EUR/SEK Spot,EURSEK_PX_LAST,EURSEK,Currency,FX Spot,Spot,Simple,Primary Market,G10,Europe,SEK,,,BBG,PX_LAST,Price,,,EURSEK Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
EUR/JPY Spot,EURJPY_PX_LAST,EURJPY,Currency,FX Spot,Spot,Simple,Primary Market,G10,Asia Pacific,JPY,,,BBG,PX_LAST,Price,,,EURJPY Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
GBP/AUD Spot,GBPAUD_PX_LAST,GBPAUD,Currency,FX Spot,Spot,Simple,Primary Market,G10,Asia Pacific,AUD,,,BBG,PX_LAST,Price,,,GBPAUD Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
GBP/NZD Spot,GBPNZD_PX_LAST,GBPNZD,Currency,FX Spot,Spot,Simple,Primary Market,G10,Asia Pacific,NZD,,,BBG,PX_LAST,Price,,,GBPNZD Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
GBP/USD Spot,GBPUSD_PX_LAST,GBPUSD,Currency,FX Spot,Spot,Simple,Primary Market,G10,Americas,USD,,,BBG,PX_LAST,Price,,,GBPUSD Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
GBP/CAD Spot,GBPCAD_PX_LAST,GBPCAD,Currency,FX Spot,Spot,Simple,Primary Market,G10,Americas,CAD,,,BBG,PX_LAST,Price,,,GBPCAD Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
GBP/CHF Spot,GBPCHF_PX_LAST,GBPCHF,Currency,FX Spot,Spot,Simple,Primary Market,G10,Europe,CHF,,,BBG,PX_LAST,Price,,,GBPCHF Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
GBP/NOK Spot,GBPNOK_PX_LAST,GBPNOK,Currency,FX Spot,Spot,Simple,Primary Market,G10,Europe,NOK,,,BBG,PX_LAST,Price,,,GBPNOK Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
GBP/SEK Spot,GBPSEK_PX_LAST,GBPSEK,Currency,FX Spot,Spot,Simple,Primary Market,G10,Europe,SEK,,,BBG,PX_LAST,Price,,,GBPSEK Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
GBP/JPY Spot,GBPJPY_PX_LAST,GBPJPY,Currency,FX Spot,Spot,Simple,Primary Market,G10,Asia Pacific,JPY,,,BBG,PX_LAST,Price,,,GBPJPY Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
AUD/NZD Spot,AUDNZD_PX_LAST,AUDNZD,Currency,FX Spot,Spot,Simple,Primary Market,G10,Asia Pacific,NZD,,,BBG,PX_LAST,Price,,,AUDNZD Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
AUD/USD Spot,AUDUSD_PX_LAST,AUDUSD,Currency,FX Spot,Spot,Simple,Primary Market,G10,Americas,USD,,,BBG,PX_LAST,Price,,,AUDUSD Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
AUD/CAD Spot,AUDCAD_PX_LAST,AUDCAD,Currency,FX Spot,Spot,Simple,Primary Market,G10,Americas,CAD,,,BBG,PX_LAST,Price,,,AUDCAD Curncy,,,,,,,"Full C(10,2)=45 G10 cross matrix, market-conventional direction only -- base-currency precedence EUR>GBP>AUD>NZD>USD>CAD>CHF>NOK>SEK>JPY. No reciprocal pairs (e.g. no USDEUR alongside EURUSD): a reciprocal is the inverse of its counterpart and carries mathematically identical information, so including both directions would produce mirror-image signals from one underlying relationship, not two. Driver 2 (yield_curve_or_cds) resolves for every one of these pairs -- the G10 branch is a relative curve (base_3m-base_10y)-(quote_3m-quote_10y), and all ten G10 currencies have both 3M and 10Y coverage in this catalog.",False
